X,CH1,CH2,
Second,Volt,Volt,
-7.4799999e-07,0.00000e+00,5.60000e-04,
-7.4399998e-07,-4.00000e-04,2.40000e-04,
-7.3999996e-07,-1.00000e-03,3.20000e-04,
-7.3600000e-07,-1.00000e-03,2.40000e-04,
-7.3199999e-07,-1.60000e-03,2.40000e-04,
-7.2799997e-07,-2.00000e-03,1.60000e-04,
-7.2399996e-07,-2.40000e-03,8.00000e-05,
-7.2000000e-07,-3.00000e-03,-1.60000e-04,
-7.1599999e-07,-3.00000e-03,0.00000e+00,
-7.1199997e-07,-3.40000e-03,-2.40000e-04,
-7.0799996e-07,-3.60000e-03,-2.40000e-04,
-7.0400000e-07,-4.20000e-03,-4.00000e-04,
-6.9999999e-07,-4.60000e-03,-4.80000e-04,
-6.9599997e-07,-4.80000e-03,-5.60000e-04,
-6.9199996e-07,-5.00000e-03,-4.00000e-04,
-6.8800000e-07,-5.40000e-03,-5.60000e-04,
-6.8399999e-07,-6.00000e-03,-6.40000e-04,
-6.7999997e-07,-6.00000e-03,-8.00000e-04,
-6.7599996e-07,-6.20000e-03,-6.40000e-04,
-6.7200000e-07,-6.40000e-03,-8.00000e-04,
-6.6799998e-07,-6.60000e-03,-8.80000e-04,
-6.6399997e-07,-7.00000e-03,-8.80000e-04,
-6.5999996e-07,-7.00000e-03,-1.04000e-03,
-6.5600000e-07,-7.00000e-03,-1.20000e-03,
-6.5199998e-07,-7.20000e-03,-8.80000e-04,
-6.4799997e-07,-7.20000e-03,-1.12000e-03,
-6.4399995e-07,-7.60000e-03,-1.04000e-03,
-6.4000000e-07,-7.40000e-03,-1.20000e-03,
-6.3599998e-07,-7.60000e-03,-1.20000e-03,
-6.3199997e-07,-7.60000e-03,-1.28000e-03,
-6.2800001e-07,-7.40000e-03,-1.12000e-03,
-6.2399999e-07,-7.60000e-03,-1.20000e-03,
-6.1999998e-07,-7.40000e-03,-1.44000e-03,
-6.1599997e-07,-7.40000e-03,-1.36000e-03,
-6.1200001e-07,-7.40000e-03,-1.20000e-03,
-6.0799999e-07,-7.20000e-03,-1.28000e-03,
-6.0399998e-07,-7.20000e-03,-1.36000e-03,
-5.9999996e-07,-7.00000e-03,-1.44000e-03,
-5.9600001e-07,-6.80000e-03,-1.28000e-03,
-5.9199999e-07,-6.60000e-03,-1.28000e-03,
-5.8799998e-07,-6.40000e-03,-1.28000e-03,
-5.8399996e-07,-6.40000e-03,-1.28000e-03,
-5.8000001e-07,-6.00000e-03,-1.28000e-03,
-5.7599999e-07,-5.60000e-03,-1.44000e-03,
-5.7199998e-07,-5.40000e-03,-1.12000e-03,
-5.6799996e-07,-5.20000e-03,-1.20000e-03,
-5.6400000e-07,-4.80000e-03,-1.20000e-03,
-5.5999999e-07,-4.60000e-03,-1.20000e-03,
-5.5599997e-07,-4.00000e-03,-1.12000e-03,
-5.5199996e-07,-3.60000e-03,-1.20000e-03,
-5.4800000e-07,-3.40000e-03,-1.12000e-03,
-5.4399999e-07,-3.20000e-03,-1.04000e-03,
-5.3999997e-07,-2.80000e-03,-9.60000e-04,
-5.3599996e-07,-2.20000e-03,-8.80000e-04,
-5.3200000e-07,-1.80000e-03,-8.00000e-04,
-5.2799999e-07,-1.40000e-03,-8.00000e-04,
-5.2399997e-07,-1.00000e-03,-6.40000e-04,
-5.1999996e-07,-8.00000e-04,-6.40000e-04,
-5.1600000e-07,-2.00000e-04,-6.40000e-04,
-5.1199999e-07,0.00000e+00,-5.60000e-04,
-5.0799997e-07,6.00000e-04,-4.80000e-04,
-5.0400001e-07,8.00000e-04,-4.80000e-04,
-5.0000000e-07,1.20000e-03,-3.20000e-04,
-4.9599998e-07,1.80000e-03,-4.00000e-04,
-4.9199997e-07,2.20000e-03,-2.40000e-04,
-4.8800001e-07,2.60000e-03,0.00000e+00,
-4.8400000e-07,2.80000e-03,8.00000e-05,
-4.7999998e-07,3.40000e-03,8.00000e-05,
-4.7600000e-07,3.80000e-03,2.40000e-04,
-4.7199998e-07,4.20000e-03,8.00000e-05,
-4.6800000e-07,4.80000e-03,2.40000e-04,
-4.6399998e-07,5.00000e-03,4.80000e-04,
-4.6000000e-07,5.20000e-03,5.60000e-04,
-4.5599998e-07,5.60000e-03,4.00000e-04,
-4.5199999e-07,5.80000e-03,6.40000e-04,
-4.4799998e-07,6.20000e-03,7.20000e-04,
-4.4399999e-07,7.00000e-03,7.20000e-04,
-4.3999998e-07,6.80000e-03,7.20000e-04,
-4.3599999e-07,7.20000e-03,8.00000e-04,
-4.3199998e-07,7.40000e-03,8.80000e-04,
-4.2799999e-07,7.80000e-03,1.04000e-03,
