Data
Headers;Channel 0 (Dev2/0) Peak-to-peak;Channel 0 (Dev2/0) Frequency
Channel;Channel 0;Channel 0
Measurement;Peak-to-peak;Frequency
Value;0,082391471369192;2000000
Mean;0,039906976785413;15448279,3962197
Minimum;0,00164782942738384;0
Maximum;0,257061390671879;57142857,1428571
Statistical range;0,255413561244495;57142857,1428571
Standard deviation;0,0740227956509345;15011686,7297896
Count;6769;6769
