Data
Headers,Channel 0 (Dev1/0) Amplitude,Channel 0 (Dev1/0) Frequency
Channel,Channel 0,Channel 0
Measurement,Amplitude,Frequency
Value,0.276835343800485,1999278.70610973
Mean,0.100804935097004,4873316.92005973
Minimum,0.00164139259368312,0
Maximum,0.278483173227869,57142857.1428572
Statistical range,0.276841780634186,57142857.1428572
Standard deviation,0.0873464896063569,9241147.27996694
Count,8963,8963
