Data
Headers,Channel 0 (Dev1/0) Amplitude,Channel 0 (Dev1/0) Frequency
Channel,Channel 0,Channel 0
Measurement,Amplitude,Frequency
Value,0.194443872431293,2000000
Mean,0.136863394248403,2263280.60157872
Minimum,0.00164139259368312,0
Maximum,0.214217825559899,50000000
Statistical range,0.212576432966216,50000000
Standard deviation,0.0564968714259856,3079229.16810228
Count,2883,2883
