Data
Headers;Channel 0 (Dev2/0) Peak-to-peak;Channel 0 (Dev2/0) Frequency;Channel 1 (Dev2/1) Peak-to-peak;Channel 1 (Dev2/1) High
Channel;Channel 0;Channel 0;Channel 1;Channel 1
Measurement;Peak-to-peak;Frequency;Peak-to-peak;High
Value;0,488950178027153;14942528,7356322;0,0851949378848076;3,07091824666691
Mean;0,257847091504212;17997595,9471333;0,0741746971633897;1,49721677855756
Minimum;0,00843017548322678;0;0;0,00390048281383898
Maximum;0,488950178027153;50000000;0,170389875769615;3,07108464302997
Statistical range;0,480520002543926;50000000;0,170389875769615;3,06718416021613
Standard deviation;0,24346092047237;12040909,9263833;0,0453365227854216;1,51726126665895
Count;29;29;201;201
