Data
Headers;Channel 0 (Dev2/0) Peak-to-peak;Channel 0 (Dev2/0) Frequency;Channel 1 (Dev2/1) Peak-to-peak;Channel 1 (Dev2/1) High
Channel;Channel 0;Channel 0;Channel 1;Channel 1
Measurement;Peak-to-peak;Frequency;Peak-to-peak;High
Value;1,09543852508068;3627,19672101416;3,15221270173788;2,9910479923999
Mean;0,681432394344293;616193,898204212;1,41949050697292;1,31547995918854
Minimum;0,168529003858566;0;0,170389875769615;0,0892618170617028
Maximum;2,19087705016136;5000000;3,15221270173788;3,07108464302997
Statistical range;2,0223480463028;5000000;2,98182282596827;2,98182282596827
Standard deviation;0,656950983210044;967077,494731147;1,47262374500502;1,43189720763272
Count;334;334;334;334
