Data
Headers;Channel 0 (Dev2/0) Peak-to-peak;Channel 0 (Dev2/0) Frequency
Channel;Channel 0;Channel 0
Measurement;Peak-to-peak;Frequency
Value;0,181261237012222;2001791,0762261
Mean;0,105182559273295;7440234,34436113
Minimum;0,00164782942738384;0
Maximum;0,242230925825424;57142857,1428571
Statistical range;0,240583096398041;57142857,1428571
Standard deviation;0,0837558177303233;12440517,4295139
Count;11803;11803
