Data
Headers,Channel 0 (Dev1/0) Amplitude,Channel 0 (Dev1/0) Frequency
Channel,Channel 0,Channel 0
Measurement,Amplitude,Frequency
Value,0.0100176280830055,2103971.24572631
Mean,0.00805403947174455,12649406.7698166
Minimum,0.00166308278721772,1013152.51375275
Maximum,0.0166699592318764,20000000
Statistical range,0.0150068764446587,18986847.4862472
Standard deviation,0.00417098286875033,4999525.6711412
Count,85,85
