Data
Headers;Channel 0 (Dev2/0) Peak-to-peak;Channel 0 (Dev2/0) Frequency
Channel;Channel 0;Channel 0
Measurement;Peak-to-peak;Frequency
Value;0,130178524763323;2000000
Mean;0,0503265616477317;11077135,9821888
Minimum;0,00164782942738384;0
Maximum;0,257061390671879;57142857,1428572
Statistical range;0,255413561244495;57142857,1428572
Standard deviation;0,0612124939700652;13900363,0895638
Count;13265;13265
