Data
Headers,Channel 0 (Dev1/0) Amplitude,Channel 0 (Dev1/0) Frequency
Channel,Channel 0,Channel 0
Measurement,Amplitude,Frequency
Value,0.0692885942407884,9038.91719089063
Mean,0.0682874889728937,25500.2313286886
Minimum,0.0500881404150277,8424.94013099051
Maximum,0.0751322106225416,426977.195536147
Statistical range,0.0250440702075139,418552.255405156
Standard deviation,0.00450627571350222,51440.1093781834
Count,3047,3047
